"occtype","sqft","bldgtype","yrbuilt","x","y","val_struct","val_cont"
"RES1-2SNB",6443.98,"W",0,-101.1895275,48.079529,506762.835,253381.417
"RES1-2SNB",3519.54,"W",0,-101.1133421,48.111446514,324973.338,162486.669
"COM1",2554.62,"M",0,-101.1321615,48.228653,460988.729,460988.729
"COM1",3517.37,"C",0,-101.1317105,48.22846,573866.592,573866.592
"RES1-2SNB",5500.76,"W",0,-101.1349101,48.214946388,435568.051,217784.025
"RES1-2SNB",8598.28,"W",0,-101.1902735,48.182984315,676179.744,338089.872
"RES1-2SNB",3191.88,"W",0,-101.1698857,48.168814711,302429.001,151214.5
"RES1-2SNB",7372.12,"W",0,-101.1874433,48.178900302,579752.953,289876.476
"RES1-2SNB",303.15,"W",0,-101.1896785,48.203632,42603.1488,21301.5744
"RES1-2SNB",9170.18,"W",0,-101.1897465,48.1990865,721154.693,360577.346
"RES1-2SNB",3433.54,"W",0,-101.1364736,48.239733602,319182.754,159591.377
"RES1-2SNB",2318.34,"W",0,-101.1356045,48.2392825,250256.81,125128.405
"RES1-2SNB",2880.34,"W",0,-101.1356345,48.2397115,282711.864,141355.932
"RES1-2SNB",3585.76,"W",0,-101.1386225,48.2392735,329358.689,164679.344
"RES1-2SNB",4575.62,"W",0,-101.1416735,48.086583,387299.17,193649.585
"RES1-2SNB",2627.94,"W",0,-101.1450289,48.226250894,268475.449,134237.724
"RES1-2SNB",2527.74,"W",0,-101.2025735,48.207049,262849.523,131424.761
"RES1-2SNB",4004.16,"W",0,-101.198972,48.2017875,355590.343,177795.171
"COM1",16018.75,"M",0,-101.1990257,48.110972032,1809900.34,1809900.34
"RES1-2SNB",4109.08,"W",0,-101.1885365,48.223868,361768.511,180884.255
"RES1-2SNB",3750.24,"W",0,-101.2087792,48.204432899,339974.903,169987.451
"RES1-2SNB",7948.12,"W",0,-101.2086955,48.199687616,625050.33,312525.165
"RES1-2SNB",2753.28,"W",0,-101.2012736,48.197078392,274998.297,137499.148
"RES1-2SNB",2896.68,"W",0,-101.2064654,48.206306303,283798.695,141899.347
"RES1-2SNB",5179.56,"W",0,-101.1822149,48.219851595,419220.051,209610.025
"RES1-2SNB",5288.56,"W",0,-101.186062,48.2246545,424894.101,212447.05
"RES1-2SNB",4175.72,"W",0,-101.1873052,48.222820877,365609.328,182804.664
"RES1-2SNB",2865.3,"W",0,-101.1873977,48.220110437,281706.345,140853.172
"RES1-2SNB",7434.26,"W",0,-101.1891995,48.225983,584639.722,292319.861
"RES1-2SNB",3359.8,"W",0,-101.189117,48.227242764,314131.893,157065.946
"RES1-2SNB",5557.74,"W",0,-101.192476,48.226665098,438350.46,219175.23
"RES1-2SNB",11199.34,"W",0,-101.1924763,48.227128438,880730.432,440365.216
"COM1",425.571428,"M",0,-101.225673,48.2297745,113609.86,113609.86
"COM1",11660.5,"S",0,-101.21811,48.2307815,1279749.84,1279749.84
"COM1",732.354285,"W",0,-101.2256375,48.2299725,136559.439,136559.439
"RES1-2SNB",2121.62,"W",0,-101.217906,48.2269285,252215.24,126107.62
"RES1-2SNB",7770.96,"W",0,-101.2145209,48.176293493,611118.241,305559.12
"RES1-2SNB",4953.8,"W",0,-101.2146527,48.179745291,407055.268,203527.634
"RES1-2SNB",6371.52,"W",0,-101.212948,48.179872,501064.488,250532.244
"RES1-2SNB",3488.58,"W",0,-101.2252717,48.191678358,322901.136,161450.568
"RES1-2SNB",4730,"W",0,-101.2167332,48.182691599,395049.372,197524.686
"COM1",3860.5,"W",0,-101.2263084,48.189469245,610307.351,610307.351
"RES1-2SNB",3683.16,"W",0,-101.220937,48.198154449,356673.663,178336.831
"RES1-2SNB",2265.44,"W",0,-101.2174953,48.186561546,246946.197,123473.098
"RES1-2SNB",4285.38,"W",0,-101.2235528,48.191189064,371788.842,185894.421
"RES1-2SNB",3329.26,"W",0,-101.2260907,48.193215297,312016.85,156008.425
"RES1-2SNB",4536.5,"W",0,-101.213253,48.183115499,385280.143,192640.071
"COM1",3286.37,"M",0,-101.188669,48.229831,382146.588,382146.588
"RES1-2SNB",6893.96,"W",0,-101.1957419,48.226640533,542149.838,271074.919
"RES1-2SNB",2991.72,"W",0,-101.2285345,48.2170835,308129.807,154064.903
"RES1-2SNB",2703.84,"W",0,-101.2275205,48.216462,289524.544,144762.272
"RES1-2SNB",2296.4,"W",0,-101.2284533,48.216160453,264453.437,132226.718
"RES1-2SNB",4705.7,"W",0,-101.2309725,48.1997785,418468.258,209234.129
"RES1-2SNB",3177.48,"W",0,-101.2336887,48.197704945,320412.144,160206.072
"COM1",4898.25,"S",0,-101.2316341,48.19696019,766789.773,766789.773
"RES1-2SNB",3373.56,"W",0,-101.232965,48.1973565,334772.927,167386.463
"RES1-2SNB",2170.2,"W",0,-101.23191,48.197293965,255747.278,127873.639
"RES1-2SNB",2733.5,"M",0,-101.2339026,48.198902988,291132.364,145566.182
"RES1-2SNB",5719.42,"W",0,-101.2333027,48.19755115,477893.916,238946.958
"RES1-2SNB",3128.88,"W",0,-101.2347606,48.198146665,317276.101,158638.05
"COM1",3591.23076,"S",0,-101.23165,48.2285915,490461.243,490461.243
"RES1-2SNB",2881,"W",0,-101.2329072,48.228235526,208083.654,104041.827
"RES1-2SNB",2012.6,"W",0,-101.232268,48.2273585,229574.892,114787.446
"RES1-2SNB",2381.76,"W",0,-101.2330053,48.228469318,186123.942,93061.971
"RES1-2SNB",4243.24,"W",0,-101.2397205,48.226464,369434.905,184717.452
