state,yearOfLoss,floodEvent,occupancyType,count,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,buildingDamageAmount,contentsDamageAmount
AL,2020,Hurricane Zeta,2.0,2,71337.62,22000.0,0.0,83337.0,24000.0
AL,2020,Hurricane Zeta,3.0,6,93818.6,16105.63,0.0,99568.0,18106.0
AL,2020,Hurricane Zeta,4.0,8,119647.97,16731.73,0.0,125815.0,19776.0
AL,2020,Hurricane Zeta,6.0,21,802359.3,310953.01,0.0,942620.0,374182.0
AL,2021,Hurricane Ida,1.0,27,296601.97000000003,26536.260000000002,0.0,324978.0,30792.0
AL,2021,Hurricane Ida,3.0,9,70881.91,0.0,0.0,81829.0,0.0
AL,2021,Tropical Storm Claudette,1.0,26,850889.6900000001,54217.6,0.0,885368.0,69047.0
AL,2021,Tropical Storm Claudette,3.0,1,116973.41,0.0,0.0,166973.0,0.0
AL,2021,Tropical Storm Claudette,6.0,1,0.0,0.0,0.0,0.0,0.0
AL,2021,Tropical Storm Nicholas,1.0,23,470085.29000000004,50874.18,0.0,456045.0,68286.0
AL,2021,Tropical Storm Nicholas,2.0,14,284921.83,0.0,0.0,297921.0,0.0
CT,1979,Not a named storm,1.0,461,652634.02,375963.95,0.0,818068.0,579336.0
CT,1979,Not a named storm,2.0,31,20634.3,14241.63,0.0,28835.0,19583.0
CT,1979,Not a named storm,3.0,37,39524.98,33664.79,0.0,52554.0,43923.0
CT,1979,Not a named storm,4.0,121,191671.87,603482.18,0.0,222196.0,903754.0
CT,1980,Flooding,1.0,683,1819996.56,443614.36,0.0,2039828.0,581965.0
CT,1980,Flooding,2.0,19,53228.96,3769.85,0.0,59499.0,4451.0
CT,1980,Flooding,3.0,2,6987.98,2224.5,0.0,7188.0,2425.0
CT,1980,Flooding,4.0,30,10381.75,58512.979999999996,0.0,13164.0,128400.0
CT,1980,Not a named storm,1.0,218,238958.13,230498.29,0.0,277001.0,292468.0
CT,1980,Not a named storm,2.0,15,13803.95,12107.65,0.0,16078.0,20562.0
CT,1980,Not a named storm,3.0,31,86511.0,45352.82,0.0,90219.0,49561.0
CT,1980,Not a named storm,4.0,55,228474.61,343518.46,0.0,302415.0,451684.0
CT,1982,Not a named storm,1.0,1211,3023528.87,1720510.99,0.0,3553721.0,2629273.0
CT,1982,Not a named storm,2.0,126,204891.27,141203.07,0.0,243331.0,217360.0
CT,1982,Not a named storm,3.0,108,811767.17,305575.57,0.0,1347054.0,453488.0
CT,1982,Not a named storm,4.0,269,1455329.25,3349341.85,0.0,2180928.0,5033113.0
CT,1984,Flooding,1.0,239,1170700.48,302155.95,0.0,1516459.0,453324.0
CT,1984,Flooding,2.0,30,232961.56,20653.989999999998,0.0,261588.0,30740.0
CT,1984,Flooding,3.0,7,5544.75,110.0,0.0,9238.0,610.0
CT,1984,Flooding,4.0,82,1162703.02,594344.5700000001,0.0,1318272.0,932651.0
CT,1985,Hurricane Gloria,1.0,744,3435932.64,512560.27,0.0,4152794.0,750204.0
CT,1985,Hurricane Gloria,2.0,28,160268.4,35710.0,0.0,186441.0,42617.0
CT,1985,Hurricane Gloria,3.0,10,25787.65,6945.87,0.0,34143.0,8705.0
CT,1985,Hurricane Gloria,4.0,44,385725.46,59473.24,0.0,516050.0,74083.0
CT,1985,Hurricane Gloria,6.0,1,0.0,6237.41,0.0,0.0,6738.0
CT,1987,Flooding,1.0,115,252726.59,98197.69,0.0,311593.0,143162.0
CT,1987,Flooding,2.0,6,1846.1,0.0,0.0,4515.0,0.0
CT,1987,Flooding,3.0,8,59614.93,586.5,0.0,62741.0,1587.0
CT,1987,Flooding,4.0,43,251462.98,154963.58000000002,0.0,270572.0,172378.0
CT,1991,"The ""Halloween"" Storm",1.0,280,899022.76,222419.73,0.0,1303750.0,326686.0
CT,1991,"The ""Halloween"" Storm",2.0,20,50866.78,12982.529999999999,0.0,61404.0,15484.0
CT,1991,"The ""Halloween"" Storm",3.0,2,6544.44,0.0,0.0,7044.0,0.0
CT,1991,"The ""Halloween"" Storm",4.0,32,309616.62,198606.5,0.0,368638.0,273623.0
CT,1991,"The ""Halloween"" Storm",6.0,1,1187.78,0.0,0.0,1688.0,0.0
CT,1992,December Storm - Nor'easter,1.0,2163,29956426.42,5100802.82,0.0,33991133.0,6628489.0
CT,1992,December Storm - Nor'easter,2.0,81,823352.91,29594.64,0.0,939545.0,42015.0
CT,1992,December Storm - Nor'easter,3.0,50,150876.19,24717.89,0.0,168958.0,28281.0
CT,1992,December Storm - Nor'easter,4.0,126,2414041.59,652677.13,0.0,2823239.0,746636.0
CT,1992,December Storm - Nor'easter,6.0,6,71497.79000000001,3622.36,0.0,75999.0,4123.0
CT,1992,Flooding,1.0,205,1192934.08,440713.13,0.0,1649970.0,6565753.0
CT,1992,Flooding,2.0,21,137793.71,1500.0,0.0,192791.0,3170.0
CT,1992,Flooding,3.0,2,35954.36,0.0,0.0,37665.0,0.0
CT,1992,Flooding,4.0,45,825808.45,769646.01,0.0,1337005.0,1431407.0
CT,1992,Flooding,6.0,2,11520.58,7305.85,0.0,13878.0,7806.0
CT,1996,Flooding,1.0,364,2296742.72,482508.93,0.0,2836044.0,642848.0
CT,1996,Flooding,2.0,20,75319.22,18199.16,0.0,2371465.0,23969.0
CT,1996,Flooding,3.0,1,0.0,0.0,0.0,0.0,0.0
CT,1996,Flooding,4.0,18,152355.51,172971.93,0.0,187857.0,201592.0
CT,1999,Hurricane Floyd,1.0,114,832023.61,137672.41,0.0,973284.0,167071.0
CT,1999,Hurricane Floyd,2.0,15,95279.92,0.0,0.0,137986.0,0.0
CT,1999,Hurricane Floyd,3.0,7,21761.35,0.0,0.0,27156.0,0.0
CT,1999,Hurricane Floyd,4.0,42,1516059.47,937231.57,0.0,1739186.0,1197691.0
CT,1999,Hurricane Floyd,6.0,5,151710.91,87292.36,0.0,154742.0,90344.0
CT,2010,Nor'easter,1.0,726,5361513.94,509050.67,30000.0,5997715.0,659304.0
CT,2010,Nor'easter,2.0,53,369562.0,11380.730000000001,0.0,460381.0,15955.0
CT,2010,Nor'easter,3.0,18,176682.86000000002,0.0,0.0,217190.0,0.0
CT,2010,Nor'easter,4.0,52,1083157.47,733652.36,0.0,1154022.0,963756.0
CT,2010,Nor'easter,6.0,16,161679.07,16617.86,0.0,182607.0,22118.0
CT,2011,Hurricane Irene,1.0,3075,65114309.65,5450637.86,1850183.97,70279495.0,7001612.0
CT,2011,Hurricane Irene,2.0,183,3725270.85,264523.3,76314.09,4103656.0,316737.0
CT,2011,Hurricane Irene,3.0,55,1264782.6099999999,49828.99,30000.0,1385811.0,71573.0
CT,2011,Hurricane Irene,4.0,144,7463796.33,1741436.94,0.0,8219734.0,2030474.0
CT,2011,Hurricane Irene,6.0,51,2570757.11,285835.67,0.0,2702053.0,386059.0
CT,2012,Hurricane Sandy,1.0,5387,198199469.68,14822740.38,7007299.78,204762433.0,18760158.0
CT,2012,Hurricane Sandy,2.0,338,9429469.06,334996.98,181395.14,10112210.0,401763.0
CT,2012,Hurricane Sandy,3.0,156,7560057.84,159005.11,0.0,7888837.0,256615.0
CT,2012,Hurricane Sandy,4.0,213,14493356.97,3551170.75,81408.39,16932557.0,4458550.0
CT,2012,Hurricane Sandy,6.0,105,6323132.78,790579.16,0.0,7238315.0,906096.0
CT,2021,Hurricane Elsa,1.0,127,1516536.64,304537.13,30000.0,1798228.0,381029.0
CT,2021,Hurricane Elsa,2.0,18,180390.93,10846.61,0.0,215280.0,14598.0
CT,2021,Hurricane Elsa,3.0,6,337096.12,0.0,0.0,340845.0,0.0
CT,2021,Hurricane Elsa,4.0,1,44225.46,0.0,0.0,45225.0,0.0
CT,2021,Hurricane Elsa,6.0,6,233810.94,34382.58,0.0,244311.0,36632.0
CT,2021,Hurricane Ida,1.0,506,13077364.35,1693573.66,0.0,13554948.0,2234162.0
CT,2021,Hurricane Ida,2.0,83,1079889.72,38815.44,0.0,1337104.0,64798.0
CT,2021,Hurricane Ida,3.0,45,3308548.08,46015.71,0.0,3403016.0,53304.0
CT,2021,Hurricane Ida,4.0,9,356150.97000000003,173719.6,0.0,376656.0,179969.0
CT,2021,Hurricane Ida,6.0,62,4431363.82,859777.38,0.0,5404115.0,911257.0
CT,2021,Tropical Storm Henri,1.0,6,80028.47,14092.45,0.0,84899.0,16627.0
CT,2021,Tropical Storm Henri,3.0,1,0.0,0.0,0.0,0.0,0.0
DE,1980,Flooding,1.0,52,96785.2,52110.45,0.0,122728.0,62531.0
DE,1980,Flooding,3.0,1,13758.96,216.75,0.0,14927.0,418.0
DE,1980,Flooding,4.0,18,51632.13,129624.37,0.0,61539.0,273109.0
DE,1985,Hurricane Gloria,1.0,104,316484.61,30311.71,0.0,410672.0,62238.0
DE,1985,Hurricane Gloria,2.0,9,39196.939999999995,2623.8,0.0,43637.0,3925.0
DE,1985,Hurricane Gloria,3.0,9,70617.95,1884.97,0.0,73867.0,2385.0
DE,1985,Hurricane Gloria,4.0,4,34837.34,21683.08,0.0,40896.0,30357.0
DE,1992,December Storm - Nor'easter,1.0,74,410729.09,25602.670000000002,0.0,453849.0,31017.0
DE,1992,December Storm - Nor'easter,2.0,5,62031.31999999999,0.0,0.0,69437.0,0.0
DE,1992,December Storm - Nor'easter,3.0,21,205849.19,8018.66,0.0,234830.0,8769.0
DE,1992,December Storm - Nor'easter,4.0,10,53154.17,2739.29,0.0,61880.0,3850.0
DE,1992,Flooding,1.0,471,2992073.81,316461.37,0.0,3612602.0,430067.0
DE,1992,Flooding,2.0,24,166366.5,8466.76,0.0,187658.0,14259.0
DE,1992,Flooding,3.0,63,521424.28,42179.56,0.0,592020.0,52163.0
DE,1992,Flooding,4.0,30,443951.38,105192.37,0.0,510111.0,143192.0
DE,1992,Flooding,6.0,2,800.0,0.0,0.0,3000.0,0.0
DE,1998,Flooding,1.0,515,3568608.83,388764.57,45000.0,4007050.0,505092.0
DE,1998,Flooding,2.0,34,221032.25999999998,12564.35,0.0,253225.0,17643.0
DE,1998,Flooding,3.0,50,346949.09,1275.7,0.0,443792.0,2025.0
DE,1998,Flooding,4.0,19,235168.57,18359.36,0.0,311825.0,30788.0
DE,1998,Flooding,6.0,6,36997.14,0.0,0.0,42248.0,0.0
